date,gdp
1947-03-01,243.164
1947-06-01,245.968
1947-09-01,249.585
1947-12-01,259.745
1948-03-01,265.742
1948-06-01,272.567
1948-09-01,279.196
1948-12-01,280.366
1949-03-01,275.034
1949-06-01,271.351
1949-09-01,272.889
1949-12-01,270.627
1950-03-01,280.828
1950-06-01,290.383
1950-09-01,308.153
1950-12-01,319.945
1951-03-01,336.0
1951-06-01,344.09
1951-09-01,351.385
1951-12-01,356.178
1952-03-01,359.82
1952-06-01,361.03
1952-09-01,367.701
1952-12-01,380.812
1953-03-01,387.98
1953-06-01,391.749
1953-09-01,391.171
1953-12-01,385.97
1954-03-01,385.345
1954-06-01,386.121
1954-09-01,390.996
1954-12-01,399.734
1955-03-01,413.073
1955-06-01,421.532
1955-09-01,430.221
1955-12-01,437.092
1956-03-01,439.746
1956-06-01,446.01
1956-09-01,451.191
1956-12-01,460.463
1957-03-01,469.779
1957-06-01,472.025
1957-09-01,479.49
1957-12-01,474.864
1958-03-01,467.54
1958-06-01,471.978
1958-09-01,485.841
1958-12-01,499.555
1959-03-01,510.33
1959-06-01,522.653
1959-09-01,525.034
1959-12-01,528.6
1960-03-01,542.648
1960-06-01,541.08
1960-09-01,545.604
1960-12-01,540.197
1961-03-01,545.018
1961-06-01,555.545
1961-09-01,567.664
1961-12-01,580.612
1962-03-01,594.013
1962-06-01,600.366
1962-09-01,609.027
1962-12-01,612.28
1963-03-01,621.672
1963-06-01,629.752
1963-09-01,644.444
1963-12-01,653.938
1964-03-01,669.822
1964-06-01,678.674
1964-09-01,692.031
1964-12-01,697.319
1965-03-01,717.79
1965-06-01,730.191
1965-09-01,749.323
1965-12-01,771.857
1966-03-01,795.734
1966-06-01,804.981
1966-09-01,819.638
1966-12-01,833.302
1967-03-01,844.17
1967-06-01,848.983
1967-09-01,865.233
1967-12-01,881.439
1968-03-01,909.387
1968-06-01,934.344
1968-09-01,950.825
1968-12-01,968.03
1969-03-01,993.337
1969-06-01,1009.02
1969-09-01,1029.956
1969-12-01,1038.147
1970-03-01,1051.2
1970-06-01,1067.375
1970-09-01,1086.059
1970-12-01,1088.608
1971-03-01,1135.156
1971-06-01,1156.271
1971-09-01,1177.675
1971-12-01,1190.297
1972-03-01,1230.609
1972-06-01,1266.369
1972-09-01,1290.566
1972-12-01,1328.904
1973-03-01,1377.49
1973-06-01,1413.887
1973-09-01,1433.838
1973-12-01,1476.289
1974-03-01,1491.209
1974-06-01,1530.056
1974-09-01,1560.026
1974-12-01,1599.679
1975-03-01,1616.116
1975-06-01,1651.853
1975-09-01,1709.82
1975-12-01,1761.831
1976-03-01,1820.487
1976-06-01,1852.332
1976-09-01,1886.558
1976-12-01,1934.273
1977-03-01,1988.648
1977-06-01,2055.909
1977-09-01,2118.473
1977-12-01,2164.27
1978-03-01,2202.76
1978-06-01,2331.633
1978-09-01,2395.053
1978-12-01,2476.949
1979-03-01,2526.61
1979-06-01,2591.247
1979-09-01,2667.565
1979-12-01,2723.883
1980-03-01,2789.842
1980-06-01,2797.352
1980-09-01,2856.483
1980-12-01,2985.557
1981-03-01,3124.206
1981-06-01,3162.532
1981-09-01,3260.609
1981-12-01,3280.818
1982-03-01,3274.302
1982-06-01,3331.972
1982-09-01,3366.322
1982-12-01,3402.561
1983-03-01,3473.413
1983-06-01,3578.848
1983-09-01,3689.179
1983-12-01,3794.706
1984-03-01,3908.054
1984-06-01,4009.601
1984-09-01,4084.25
1984-12-01,4148.551
1985-03-01,4230.168
1985-06-01,4294.887
1985-09-01,4386.773
1985-12-01,4444.094
1986-03-01,4507.894
1986-06-01,4545.34
1986-09-01,4607.669
1986-12-01,4657.627
1987-03-01,4722.156
1987-06-01,4806.16
1987-09-01,4884.555
1987-12-01,5007.994
1988-03-01,5073.372
1988-06-01,5190.036
1988-09-01,5282.835
1988-12-01,5399.509
1989-03-01,5511.253
1989-06-01,5612.463
1989-09-01,5695.365
1989-12-01,5747.237
1990-03-01,5872.701
1990-06-01,5960.028
1990-09-01,6015.116
1990-12-01,6004.733
1991-03-01,6035.178
1991-06-01,6126.862
1991-09-01,6205.937
1991-12-01,6264.54
1992-03-01,6363.102
1992-06-01,6470.763
1992-09-01,6566.641
1992-12-01,6680.803
1993-03-01,6729.459
1993-06-01,6808.939
1993-09-01,6882.098
1993-12-01,7013.738
1994-03-01,7115.652
1994-06-01,7246.931
1994-09-01,7331.075
1994-12-01,7455.288
1995-03-01,7522.289
1995-06-01,7580.997
1995-09-01,7683.125
1995-12-01,7772.586
1996-03-01,7868.468
1996-06-01,8032.84
1996-09-01,8131.408
1996-12-01,8259.771
1997-03-01,8362.655
1997-06-01,8518.825
1997-09-01,8662.823
1997-12-01,8765.907
1998-03-01,8866.48
1998-06-01,8969.699
1998-09-01,9121.097
1998-12-01,9293.991
1999-03-01,9417.264
1999-06-01,9524.152
1999-09-01,9681.856
1999-12-01,9899.378
2000-03-01,10002.857
2000-06-01,10247.679
2000-09-01,10319.825
2000-12-01,10439.025
2001-03-01,10472.879
2001-06-01,10597.822
2001-09-01,10596.294
2001-12-01,10660.294
2002-03-01,10788.952
2002-06-01,10893.207
2002-09-01,10992.051
2002-12-01,11071.463
2003-03-01,11183.507
2003-06-01,11312.875
2003-09-01,11567.326
2003-12-01,11769.275
2004-03-01,11920.169
2004-06-01,12108.987
2004-09-01,12303.34
2004-12-01,12522.425
2005-03-01,12761.337
2005-06-01,12910.022
2005-09-01,13142.873
2005-12-01,13332.316
2006-03-01,13603.933
2006-06-01,13749.806
2006-09-01,13867.469
2006-12-01,14037.228
2007-03-01,14208.569
2007-06-01,14382.363
2007-09-01,14535.003
2007-12-01,14681.501
2008-03-01,14651.039
2008-06-01,14805.611
2008-09-01,14835.187
2008-12-01,14559.543
2009-03-01,14394.547
2009-06-01,14352.85
2009-09-01,14420.312
2009-12-01,14628.021
2010-03-01,14721.35
2010-06-01,14926.098
2010-09-01,15079.917
2010-12-01,15240.843
2011-03-01,15285.828
2011-06-01,15496.189
2011-09-01,15591.85
2011-12-01,15796.46
2012-03-01,16019.758
2012-06-01,16152.257
2012-09-01,16257.151
2012-12-01,16358.863
2013-03-01,16569.591
2013-06-01,16637.926
2013-09-01,16848.748
2013-12-01,17083.137
2014-03-01,17104.555
2014-06-01,17432.909
2014-09-01,17721.657
2014-12-01,17849.912
2015-03-01,17984.178
2015-06-01,18219.405
2015-09-01,18344.713
2015-12-01,18350.825
2016-03-01,18424.283
2016-06-01,18637.253
2016-09-01,18806.743
2016-12-01,18991.883
2017-03-01,19190.431
2017-06-01,19356.649
2017-09-01,19611.704
2017-12-01,19918.91
2018-03-01,20163.159
2018-06-01,20510.177
2018-09-01,20749.752
2018-12-01,20897.804
2019-03-01,21098.827
2019-06-01,21340.267
2019-09-01,21542.54
2019-12-01,21734.266
